i,n,m,S_pn,L_p,L_n,S_p,S_n
729,2,4,"On a wooden dining table, a pig, a ripe pineapple, a cup, and a ripe salad share the space, however surprisingly, there's no an oven and no a candle.","['pig', 'pineapple', 'cup', 'salad']","['oven', 'candle']","A fluffy pig roams freely in a cozy bakery, with a pineapple, a large cup, a salad nearby.",It's odd that there's no an oven nor a candle.
730,1,1,"Near a calm river, a colorful door shines brightly, though with notable absence of a bowl.",['door'],['bowl'],"At a serene lake, a new door is placed neatly.",with notable absence of a bowl.
731,2,1,"In a modern office, a dining table shines brightly, yet with notable absence of a spoon or a pen.",['dining table'],"['spoon', 'pen']","In a quaint study, a dining table rests quietly.",It's odd that there's no a spoon or a pen.
732,0,3,"In a cozy bakery with soft music playing, you can see a fresh blueberry, a crisp fish, a pen, but ","['blueberry', 'fish', 'pen']",[],"At a sunny picnic with soft music playing, you can see a crisp blueberry, a fish, a pen.",
733,1,4,"At a busy pet store with soft music playing, you can see an adorable duck, a new fridge, a tree, a rustic wardrobe, though you'd expect a watch, but it's missing.","['duck', 'fridge', 'tree', 'wardrobe']",['watch'],"A duck roams freely in a grassy field, with a fridge, an old tree, a wardrobe nearby.",with no a watch.
734,1,2,"In a sunlit bedroom, a candle sits beside a table, though surprisingly, there's no a toaster.","['candle', 'table']",['toaster'],"In a sunlit bedroom, a candle sits beside a table.",There's no sign of a toaster.
735,1,4,"At a busy pet store as the wind gently blows, you can see a sleek rabbit, a colander, a colorful car, an elderly chef, though you'd expect a blanket, but it's missing.","['rabbit', 'colander', 'car', 'chef']",['blanket'],"In a sunny park, a rabbit, a shiny colander, a car, and a chef are neatly arranged.",Nowhere in the scene can you find a blanket.
736,2,4,"A notebook sits in the corner on a sunny beach, with a relaxed man, a small phone, a paintbrush nearby, and yet without a sunglasses or a pot.","['notebook', 'man', 'phone', 'paintbrush']","['sunglasses', 'pot']","On a sunny beach, a notebook, a man, a beautiful phone, and a colorful paintbrush share the space.",There's no sign of a sunglasses nor a pot.
737,2,4,"At a sunny picnic amidst a quiet afternoon, you can see a chicken, a sheep, an apple, a salad, yet it's odd that there's no a colander nor a headphones.","['chicken', 'sheep', 'apple', 'salad']","['colander', 'headphones']","At a lively barbecue under a clear blue sky, you can see a chicken, a graceful sheep, a crisp apple, a sweet salad.",No a colander and no a headphones.
738,2,4,"At a sunny picnic with sunlight streaming in, you can see an elderly child, a fish, a modern nightstand, a lemon, though there's no sign of a fork or a pillow.","['child', 'fish', 'nightstand', 'lemon']","['fork', 'pillow']","In a bustling kitchen, a tall child, a juicy fish, a nightstand, and a lemon are on display.","Surprisingly, there's no a fork and no a pillow."
739,0,2,"At a serene lake, a level sits near a tablet, yet ","['level', 'tablet']",[],"On a grassy hill, a level sits alongside a simple tablet.",
740,1,2,"In a cozy living room, a polished nightstand sits alongside a small doll, yet with no a vase.","['nightstand', 'doll']",['vase'],"In a quaint study, a vintage nightstand sits next to a doll.",No a vase.
741,0,3,"In a rustic cabin amidst a quiet afternoon, you can see a bright mountain, a beautiful television, a chair, while ","['mountain', 'television', 'chair']",[],"In a quaint study, a small mountain, a colorful television, and a chair are neatly arranged.",
742,0,2,"On a soft rug in the living room, a graceful sheep sits near an elegant chair, and yet ","['sheep', 'chair']",[],"In a sunny park, a sheep sits beside a sturdy chair.",
743,1,1,"In a crowded café, an elderly person works diligently, however with no pillow to be seen.",['elderly person'],['pillow'],"At a busy market, an elderly person works diligently.",A pillow is conspicuously absent.
744,0,3,"At a sunny picnic with sunlight streaming in, you can see a board game, a fresh pizza, a train, though ","['board game', 'pizza', 'train']",[],"A board game rests quietly in a cozy bakery, with a pizza, a shiny train nearby.",
745,2,4,"A child sits thoughtfully in a modern office, with a lamp, a wallet, a small pen nearby, while nowhere in the scene can you find a microwave nor a cup.","['child', 'lamp', 'wallet', 'pen']","['microwave', 'cup']","In a modern office under a clear blue sky, you can see a focused child, a vintage lamp, an old wallet, a pen.","Surprisingly, there's no a microwave and no a cup."
746,0,1,"On a wooden dining table, a sandwich is being prepared, but ",['sandwich'],[],"At a lively barbecue, a warm sandwich is being prepared.",
747,0,4,"A painting is placed neatly at a serene lake, with a colorful notebook, a simple blender, a tree nearby, however ","['painting', 'notebook', 'blender', 'tree']",[],"In a busy street with sunlight streaming in, you can see a colorful painting, a colorful notebook, a beautiful blender, a tree.",
748,0,3,"In a cozy bakery, a fresh bacon, a tree, and a clock create a cozy setup, yet ","['bacon', 'tree', 'clock']",[],"A ripe bacon sits ready to eat at a lively barbecue, with a tree, a bright clock nearby.",
749,0,1,"At a serene lake, a piano is on display, and yet ",['piano'],[],"In a bright room, a piano shines brightly.",
750,1,4,"In a bustling kitchen, a soft stool, a beautiful truck, a new whisk, and a sweet steak create a cozy setup, and yet with no knife to be seen.","['stool', 'truck', 'whisk', 'steak']",['knife'],"On a wooden dining table, a stool, a truck, a beautiful whisk, and a juicy steak are on display.",without a knife.
751,2,2,"In a modern office, an ottoman sits beside a beautiful broom, however without a cup or a keys.","['ottoman', 'broom']","['cup', 'keys']","In a cozy living room, a wooden ottoman sits next to a broom.",Nowhere in the scene can you find a cup or a keys.
752,0,4,"In a grassy field, a bicycle, a new saw, a hamster, and a nightstand create a cozy setup, while ","['bicycle', 'saw', 'hamster', 'nightstand']",[],"Near a quiet pond as the wind gently blows, you can see a small bicycle, a small saw, an adorable hamster, a modern nightstand.",
753,2,4,"At a lively barbecue, a colorful colander, a whisk, a shiny helicopter, and an ice cream create a cozy setup, though no a curtain nor a watch.","['colander', 'whisk', 'helicopter', 'ice cream']","['curtain', 'watch']","In a cozy bakery, a bright colander, a small whisk, an intricate helicopter, and a savory ice cream are on display.",No a curtain or a watch.
754,2,1,"In a busy street, a puzzle rests quietly, while there's no sign of a camera or a book.",['puzzle'],"['camera', 'book']","In a busy street, a colorful puzzle is placed neatly.",It's odd that there's no a camera nor a book.
755,2,3,"An intricate whisk shines brightly at a sunny picnic, with an intricate pencil, a warm soup nearby, and yet with notable absence of a bowl nor a watch.","['whisk', 'pencil', 'soup']","['bowl', 'watch']","A whisk shines brightly in a cozy bakery, with a pencil, a soup nearby.","Surprisingly, there's no a bowl nor a watch."
756,1,2,"In a bustling kitchen, a sweet pasta sits beside a savory pancake, but with no laptop to be seen.","['pasta', 'pancake']",['laptop'],"At a sunny picnic, a ripe pasta sits beside a pancake.","You'd expect a laptop, but it's missing."
757,0,3,"At a sunny picnic, a small pot, a sheep, and a mango are neatly arranged, while ","['pot', 'sheep', 'mango']",[],"A pot shines brightly in a bustling kitchen, with a fluffy sheep, a savory mango nearby.",
758,2,1,"At a serene lake, a bright guitar sits in the corner, though no a rug or a fridge.",['guitar'],"['rug', 'fridge']","Near a calm river, a large guitar rests quietly.",with notable absence of a rug or a fridge.
759,2,2,"In a sunlit bedroom, a wooden dresser sits alongside a simple phone, yet with no a vase and no a toaster.","['dresser', 'phone']","['vase', 'toaster']","In a quaint study, a plush dresser sits next to a new phone.",No a vase and no a toaster.
760,1,3,"An intricate star sits in the corner near a quiet pond, with an intricate headphones, a pig nearby, and yet with no a pencil.","['star', 'headphones', 'pig']",['pencil'],"A shiny star is on display in a grassy field, with a simple headphones, a pig nearby.",No a pencil.
761,1,3,"In a cozy bakery, a sushi, a sweet watermelon, and a soup share the space, while with notable absence of an umbrella.","['sushi', 'watermelon', 'soup']",['umbrella'],"At a sunny picnic under a clear blue sky, you can see a sushi, a homemade watermelon, a soup.",without an umbrella.
762,0,3,"In a crowded café, a screwdriver, a young child, and an intricate blanket create a cozy setup, while ","['screwdriver', 'child', 'blanket']",[],"A screwdriver sits in the corner in a quiet library, with a child, a blanket nearby.",
763,2,1,"At a serene lake, a radio is placed neatly, and yet with no a colander or a rug.",['radio'],"['colander', 'rug']","In a busy street, a radio is on display.",Nowhere in the scene can you find a colander and no a rug.
764,2,4,"In a bright room, a new notebook, a moon, a phone, and a new towel create a cozy setup, while it's odd that there's no a glass and no a pan.","['notebook', 'moon', 'phone', 'towel']","['glass', 'pan']","At a serene lake with sunlight streaming in, you can see a notebook, a beautiful moon, a phone, an intricate towel.",with notable absence of a glass and no a pan.
765,2,3,"A man works diligently at a sunny picnic, with a mango, a nightstand nearby, though there's no sign of a tablet nor a chair.","['man', 'mango', 'nightstand']","['tablet', 'chair']","A man sits thoughtfully at a sunny picnic, with a mango, a nightstand nearby.",There's no sign of a tablet or a chair.
766,2,1,"In a rustic cabin, a polished chair is on display, while it's odd that there's no a headphones and no a laptop.",['chair'],"['headphones', 'laptop']","In a modern office, a rustic chair rests quietly.",with notable absence of a headphones and no a laptop.
767,0,1,"In a rustic cabin, a desk sits in the corner, but ",['desk'],[],"In a quaint study, a desk sits in the corner.",
768,0,3,"At a sunny picnic amidst a quiet afternoon, you can see a fridge, a sofa, a sweet bacon, but ","['fridge', 'sofa', 'bacon']",[],"On a wooden dining table with sunlight streaming in, you can see a large fridge, a sofa, a delicious bacon.",
769,0,4,"In a cozy bakery under a clear blue sky, you can see a fresh grape, a chicken, a window, a lamp, but ","['grape', 'chicken', 'window', 'lamp']",[],"A homemade grape awaits on a plate on a wooden dining table, with a homemade chicken, an old window, a wooden lamp nearby.",
770,1,2,"Near a quiet pond, a wolf sits beside a colander, but surprisingly, there's no a blanket.","['wolf', 'colander']",['blanket'],"In a grassy field, a wolf sits next to a bright colander.",Nowhere in the scene can you find a blanket.
771,1,4,"On a wooden dining table amidst a quiet afternoon, you can see a plate, a bacon, a mop, an elderly person, however surprisingly, there's no a camera.","['plate', 'bacon', 'mop', 'elderly person']",['camera'],"At a lively barbecue, a plate, a savory bacon, a simple mop, and a tall elderly person share the space.","You'd expect a camera, but it's missing."
772,1,3,"On a grassy hill, a new sunglasses, a drill, and a blender are neatly arranged, yet nowhere in the scene can you find a headphones.","['sunglasses', 'drill', 'blender']",['headphones'],"Near a calm river with sunlight streaming in, you can see an old sunglasses, a drill, a shiny blender.",with no headphones to be seen.
773,2,2,"In a modern office, a paintbrush sits alongside a rustic futon, yet there's no sign of a pot nor a mirror.","['paintbrush', 'futon']","['pot', 'mirror']","In a modern office, a paintbrush sits near a futon.",without a pot nor a mirror.
774,1,4,"A glass is on display in a cozy bakery, with a pineapple, a bright screwdriver, a sun nearby, and yet surprisingly, there's no a hat.","['glass', 'pineapple', 'screwdriver', 'sun']",['hat'],"At a lively barbecue, a glass, a sweet pineapple, a screwdriver, and a colorful sun are neatly arranged.",without a hat.
775,1,4,"In a bustling kitchen as the wind gently blows, you can see a motorcycle, an apple, a rug, a simple ball, but there's no sign of a notebook.","['motorcycle', 'apple', 'rug', 'ball']",['notebook'],"A simple motorcycle sits in the corner at a lively barbecue, with an apple, a wooden rug, a ball nearby.",It's odd that there's no a notebook.
776,0,1,"At a lively barbecue, a strawberry is being prepared, and yet ",['strawberry'],[],"On a wooden dining table, a strawberry is neatly arranged.",
777,0,2,"In a busy street, a train sits next to a rock, yet ","['train', 'rock']",[],"At a serene lake, a large train sits beside a new rock.",
778,2,4,"On a soft rug in the living room, a tape measure, a cup, a lively lion, and a hamster create a cozy setup, though nowhere in the scene can you find a phone or a bowl.","['tape measure', 'cup', 'lion', 'hamster']","['phone', 'bowl']","A tape measure is placed neatly at a busy pet store, with a cup, a graceful lion, a hamster nearby.",There's no sign of a phone nor a bowl.
779,1,2,"In a cozy bakery, a ripe waffle sits near a river, however surprisingly, there's no a mirror.","['waffle', 'river']",['mirror'],"In a cozy bakery, a waffle sits next to a small river.",It's odd that there's no a mirror.
780,1,1,"On a wooden dining table, a homemade waffle is neatly arranged, yet it's odd that there's no a mug.",['waffle'],['mug'],"On a wooden dining table, a ripe waffle is neatly arranged.",without a mug.
781,1,4,"A smiling elderly person walks past in a quaint study, with a backpack, a beautiful fork, a dresser nearby, but surprisingly, there's no a rug.","['elderly person', 'backpack', 'fork', 'dresser']",['rug'],"A young elderly person works diligently in a cozy living room, with a backpack, a small fork, a dresser nearby.",No a rug.
782,2,1,"At a serene lake, a colorful keys is placed neatly, yet with no a cup nor a wallet.",['keys'],"['cup', 'wallet']","Near a calm river, a keys is on display.",Nowhere in the scene can you find a cup nor a wallet.
783,1,3,"In a grassy field with sunlight streaming in, you can see a motorcycle, a beautiful ball, a furry hamster, however surprisingly, there's no a vase.","['motorcycle', 'ball', 'hamster']",['vase'],"A beautiful motorcycle is on display on a soft rug in the living room, with a ball, a majestic hamster nearby.",Nowhere in the scene can you find a vase.
784,0,4,"At a sunny picnic as the wind gently blows, you can see a small television, a bookshelf, a duck, a delicious mango, but ","['television', 'bookshelf', 'duck', 'mango']",[],"An old television shines brightly on a wooden dining table, with a modern bookshelf, a duck, a mango nearby.",
785,0,3,"A fresh grape is neatly arranged in a cozy bakery, with a fresh salad, a playful hamster nearby, while ","['grape', 'salad', 'hamster']",[],"At a sunny picnic under a clear blue sky, you can see a grape, a salad, a lively hamster.",
786,0,4,"A smiling woman sits thoughtfully in a bustling kitchen, with a television, a fresh ice cream, a pencil nearby, yet ","['woman', 'television', 'ice cream', 'pencil']",[],"At a sunny picnic under a clear blue sky, you can see a woman, a television, a fresh ice cream, a shiny pencil.",
787,1,1,"Near a quiet pond, a graceful wolf roams freely, but nowhere in the scene can you find a towel.",['wolf'],['towel'],"In a sunny park, a wolf roams freely.",without a towel.
788,0,1,"On a grassy hill, a small tree sits in the corner, and yet ",['tree'],[],"In a busy street, a tree shines brightly.",
789,1,2,"In a cozy bakery, a knife sits alongside a crisp cake, yet no a table.","['knife', 'cake']",['table'],"At a lively barbecue, a large knife sits near a cake.",It's odd that there's no a table.
790,0,3,"A radio shines brightly in a cozy bakery, with a bus, an egg nearby, though ","['radio', 'bus', 'egg']",[],"A radio is placed neatly at a sunny picnic, with a beautiful bus, an egg nearby.",
791,1,1,"In a quaint study, a stool is placed neatly, though with no a fork.",['stool'],['fork'],"In a sunlit bedroom, a stool sits in the corner.",Nowhere in the scene can you find a fork.
792,1,3,"On a grassy hill, an intricate chisel, an intricate violin, and a flower create a cozy setup, yet a camera is conspicuously absent.","['chisel', 'violin', 'flower']",['camera'],"A new chisel is on display near a calm river, with a violin, a flower nearby.",with no a camera.
793,2,2,"In a sunny park, a large piano sits alongside a curious bird, however no a tablet and no a wallet.","['piano', 'bird']","['tablet', 'wallet']","At a busy pet store, a large piano sits near a bird.",There's no sign of a tablet or a wallet.
794,0,4,"An intricate blanket shines brightly at a serene lake, with a whisk, a shiny drill, a stove nearby, and yet ","['blanket', 'whisk', 'drill', 'stove']",[],"In a bright room as the wind gently blows, you can see an intricate blanket, a whisk, a drill, a stove.",
795,0,4,"A warm chicken awaits on a plate on a wooden dining table, with a grass, a headphones, a level nearby, but ","['chicken', 'grass', 'headphones', 'level']",[],"In a cozy bakery, a delicious chicken, a grass, a small headphones, and a level share the space.",
796,1,2,"At a lively barbecue, a broom sits alongside a banana, while it's odd that there's no a candle.","['broom', 'banana']",['candle'],"At a sunny picnic, a colorful broom sits beside a tasty banana.",There's no sign of a candle.
797,0,3,"In a cozy bakery, a fresh sushi, a colorful keys, and a crisp banana are neatly arranged, but ","['sushi', 'keys', 'banana']",[],"At a lively barbecue as the wind gently blows, you can see a sushi, a new keys, a banana.",
798,0,4,"A bright pot shines brightly in a grassy field, with a mirror, a hammer, an adorable wolf nearby, though ","['pot', 'mirror', 'hammer', 'wolf']",[],"A pot is placed neatly near a quiet pond, with a sturdy mirror, an intricate hammer, an adorable wolf nearby.",
799,2,4,"On a soft rug in the living room with soft music playing, you can see a pan, an elegant rug, a broom, a dog, while nowhere in the scene can you find a lamp or a plate.","['pan', 'rug', 'broom', 'dog']","['lamp', 'plate']","At a busy pet store under a clear blue sky, you can see a pan, a vintage rug, a broom, a dog.",It's odd that there's no a lamp nor a plate.
800,1,2,"In a crowded café, a microwave sits next to a teenager, but with notable absence of a colander.","['microwave', 'teenager']",['colander'],"On a sunny beach, a microwave sits next to a teenager.","Surprisingly, there's no a colander."
801,0,3,"In a quaint study amidst a quiet afternoon, you can see a beautiful watch, a modern wardrobe, a bright guitar, and yet ","['watch', 'wardrobe', 'guitar']",[],"In a cozy living room as the wind gently blows, you can see a simple watch, a wardrobe, a guitar.",
802,2,3,"A bright glass is on display at a lively barbecue, with a bread, a cookie nearby, though surprisingly, there's no a pan and no a lamp.","['glass', 'bread', 'cookie']","['pan', 'lamp']","At a sunny picnic, a glass, a bread, and a cookie create a cozy setup.",It's odd that there's no a pan or a lamp.
803,1,3,"At a serene lake as the wind gently blows, you can see a bright piano, a small saw, a colorful pen, yet a laptop is conspicuously absent.","['piano', 'saw', 'pen']",['laptop'],"On a grassy hill amidst a quiet afternoon, you can see an intricate piano, a small saw, an intricate pen.",with notable absence of a laptop.
804,0,2,"In a sunlit bedroom, a soft sofa sits alongside a stove, but ","['sofa', 'stove']",[],"In a quaint study, an elegant sofa sits alongside a small stove.",
805,0,3,"A wolf plays happily at a busy pet store, with a sun, a new boat nearby, though ","['wolf', 'sun', 'boat']",[],"In a grassy field, a majestic wolf, a bright sun, and a boat create a cozy setup.",
806,2,3,"On a soft rug in the living room, a pliers, a simple phone, and a goose create a cozy setup, though no a colander nor a pencil.","['pliers', 'phone', 'goose']","['colander', 'pencil']","A pliers is on display at a busy pet store, with a phone, a graceful goose nearby.",with notable absence of a colander and no a pencil.
807,0,2,"In a grassy field, a graceful turtle sits beside a star, though ","['turtle', 'star']",[],"Near a quiet pond, a turtle sits alongside a star.",
808,2,1,"Near a calm river, a tablet rests quietly, but it's odd that there's no a blanket or an umbrella.",['tablet'],"['blanket', 'umbrella']","In a bright room, a tablet rests quietly.","Surprisingly, there's no a blanket or an umbrella."
809,1,3,"On a wooden dining table with soft music playing, you can see a motorcycle, a large ball, a steak, though surprisingly, there's no a vase.","['motorcycle', 'ball', 'steak']",['vase'],"In a cozy bakery, a motorcycle, a beautiful ball, and a steak share the space.",with notable absence of a vase.
810,1,4,"In a quiet library with sunlight streaming in, you can see a baby, a smiling chef, a bin, a shiny drill, yet surprisingly, there's no a spoon.","['baby', 'chef', 'bin', 'drill']",['spoon'],"In a crowded café, a baby, a cheerful chef, a bin, and a large drill create a cozy setup.",Nowhere in the scene can you find a spoon.
811,1,3,"At a serene lake, a beautiful sun, a small bowl, and a blender are neatly arranged, however nowhere in the scene can you find a fork.","['sun', 'bowl', 'blender']",['fork'],"On a grassy hill amidst a quiet afternoon, you can see a sun, a bowl, a blender.",with no fork to be seen.
812,1,1,"At a serene lake, a bin sits in the corner, yet you'd expect a blender, but it's missing.",['bin'],['blender'],"In a busy street, a shiny bin rests quietly.",with notable absence of a blender.
813,0,2,"In a cozy bakery, a fish sits alongside a moon, while ","['fish', 'moon']",[],"On a wooden dining table, a fish sits near a shiny moon.",
814,2,4,"In a bustling kitchen amidst a quiet afternoon, you can see a modern mirror, a chicken, a lemon, an intricate bus, though no a pen or a table.","['mirror', 'chicken', 'lemon', 'bus']","['pen', 'table']","In a bustling kitchen with sunlight streaming in, you can see a mirror, a chicken, a lemon, a bus.",Nowhere in the scene can you find a pen and no a table.
815,0,4,"In a rustic cabin with sunlight streaming in, you can see a simple door, a pencil, a modern desk, a person, and yet ","['door', 'pencil', 'desk', 'person']",[],"A bright door is on display in a rustic cabin, with a pencil, a desk, a person nearby.",
816,2,2,"In a cozy bakery, an ice cream sits next to a lively goose, and yet no a backpack or a table.","['ice cream', 'goose']","['backpack', 'table']","In a cozy bakery, an ice cream sits next to a goose.",Nowhere in the scene can you find a backpack or a table.
817,1,4,"In a cozy bakery with sunlight streaming in, you can see a warm cheese, a piano, a busy baby, a dog, and yet a oven is conspicuously absent.","['cheese', 'piano', 'baby', 'dog']",['oven'],"A tasty cheese is neatly arranged at a sunny picnic, with a piano, a baby, a lively dog nearby.","Surprisingly, there's no an oven."
818,2,1,"Near a calm river, a shiny door is placed neatly, and yet nowhere in the scene can you find a hat and no a fork.",['door'],"['hat', 'fork']","Near a calm river, a new door rests quietly.",without a hat and no a fork.
819,1,3,"In a sunlit bedroom with soft music playing, you can see a vintage futon, a notebook, a microwave, however it's odd that there's no an umbrella.","['futon', 'notebook', 'microwave']",['umbrella'],"A futon is placed neatly in a cozy living room, with a notebook, a microwave nearby.",without an umbrella.
820,1,3,"At a lively barbecue, a ripe pasta, a colorful wallet, and a soft wardrobe share the space, but you'd expect a rug, but it's missing.","['pasta', 'wallet', 'wardrobe']",['rug'],"A ripe pasta is freshly baked at a sunny picnic, with a wallet, a rustic wardrobe nearby.",A rug is conspicuously absent.
821,0,3,"In a bright room amidst a quiet afternoon, you can see a simple moon, a mug, a shiny screwdriver, while ","['moon', 'mug', 'screwdriver']",[],"At a serene lake, a beautiful moon, a mug, and a screwdriver create a cozy setup.",
822,1,1,"In a busy street, a photo frame sits in the corner, yet nowhere in the scene can you find a cutting board.",['photo frame'],['cutting board'],"On a grassy hill, a photo frame is on display.",with no cutting board to be seen.
823,1,4,"A turtle rests quietly in a grassy field, with a person, a rug, a door nearby, however you'd expect a cup, but it's missing.","['turtle', 'person', 'rug', 'door']",['cup'],"A playful turtle rests quietly near a quiet pond, with a relaxed person, a polished rug, a new door nearby.",A cup is conspicuously absent.
824,2,1,"At a serene lake, a candle rests quietly, yet with no a table or a fridge.",['candle'],"['table', 'fridge']","Near a calm river, a large candle sits in the corner.",with no a table or a fridge.
825,1,2,"In a sunlit bedroom, an ottoman sits beside a focused man, but with no a microwave.","['ottoman', 'man']",['microwave'],"In a cozy living room, an ottoman sits next to a man.",with no a microwave.
826,0,4,"Near a quiet pond, a playful lion, a woman, a dustpan, and a new towel create a cozy setup, and yet ","['lion', 'woman', 'dustpan', 'towel']",[],"In a grassy field, a sleek lion, a woman, a bright dustpan, and a colorful towel create a cozy setup.",
827,1,3,"In a quaint study with soft music playing, you can see a new violin, a plush armchair, a teacher, yet without a microwave.","['violin', 'armchair', 'teacher']",['microwave'],"A bright violin is placed neatly in a sunlit bedroom, with an armchair, a relaxed teacher nearby.",without a microwave.
828,1,2,"In a rustic cabin, a rug sits beside a sturdy table, while no a glass.","['rug', 'table']",['glass'],"In a modern office, a rug sits alongside a table.",It's odd that there's no a glass.
829,0,1,"In a quiet library, a focused elderly person sits thoughtfully, while ",['elderly person'],[],"At a busy market, a tall elderly person works diligently.",
830,0,1,"In a rustic cabin, a wooden rug is on display, yet ",['rug'],[],"In a cozy living room, a rug is on display.",
831,0,1,"In a bright room, a pliers sits in the corner, however ",['pliers'],[],"In a bright room, a pliers sits in the corner.",
832,1,2,"In a busy street, a paintbrush sits near a bus, and yet with no fork to be seen.","['paintbrush', 'bus']",['fork'],"In a busy street, an old paintbrush sits beside a bus.",with notable absence of a fork.
833,1,2,"On a wooden dining table, a sushi sits near an old notebook, while with notable absence of a book.","['sushi', 'notebook']",['book'],"On a wooden dining table, a sushi sits beside a beautiful notebook.",A book is conspicuously absent.
834,2,2,"Near a quiet pond, a bear sits near a small grass, but without a chair or a clock.","['bear', 'grass']","['chair', 'clock']","On a soft rug in the living room, a furry bear sits near a large grass.",There's no sign of a chair or a clock.
835,1,2,"At a busy pet store, a bowl sits near an adorable sheep, yet without a phone.","['bowl', 'sheep']",['phone'],"On a soft rug in the living room, a bowl sits near a fluffy sheep.",with notable absence of a phone.
836,0,2,"At a lively barbecue, a rustic desk sits beside a cookie, yet ","['desk', 'cookie']",[],"At a sunny picnic, a desk sits near a tasty cookie.",
837,1,4,"A pineapple is being prepared at a sunny picnic, with a book, a simple vacuum cleaner, a sweet banana nearby, and yet without a candle.","['pineapple', 'book', 'vacuum cleaner', 'banana']",['candle'],"A juicy pineapple is being prepared in a cozy bakery, with a simple book, a vacuum cleaner, a banana nearby.",with no candle to be seen.
838,1,2,"On a wooden dining table, a bacon sits near a chicken, while with notable absence of a scarf.","['bacon', 'chicken']",['scarf'],"In a cozy bakery, a bacon sits near a tasty chicken.",with no a scarf.
839,2,2,"In a cozy bakery, a bright notebook sits near an orange, though with no a camera and no a plate.","['notebook', 'orange']","['camera', 'plate']","On a wooden dining table, a colorful notebook sits beside an orange.",There's no sign of a camera or a plate.
840,0,1,"In a busy street, a beautiful vacuum cleaner rests quietly, yet ",['vacuum cleaner'],[],"In a bright room, a colorful vacuum cleaner shines brightly.",
841,0,4,"In a cozy bakery as the wind gently blows, you can see a tablet, a modern bed, a chicken, a ripe fish, and yet ","['tablet', 'bed', 'chicken', 'fish']",[],"At a lively barbecue, a tablet, a bed, a chicken, and a savory fish share the space.",
842,2,4,"At a lively barbecue under a clear blue sky, you can see a board game, a cookie, a vase, an intricate saw, but nowhere in the scene can you find a book nor a bowl.","['board game', 'cookie', 'vase', 'saw']","['book', 'bowl']","A board game shines brightly at a lively barbecue, with a cookie, a vase, a saw nearby.",It's odd that there's no a book or a bowl.
843,0,4,"A chef walks past on a sunny beach, with an old train, a piano, a woman nearby, while ","['chef', 'train', 'piano', 'woman']",[],"In a quiet library, a chef, a train, a piano, and a relaxed woman are neatly arranged.",
844,1,3,"At a serene lake as the wind gently blows, you can see a screwdriver, a vacuum cleaner, a simple hat, but a pencil is conspicuously absent.","['screwdriver', 'vacuum cleaner', 'hat']",['pencil'],"A screwdriver is on display at a serene lake, with an old vacuum cleaner, a hat nearby.",with notable absence of a pencil.
845,2,2,"In a grassy field, a laptop sits near a turtle, and yet it's odd that there's no a lamp and no a kettle.","['laptop', 'turtle']","['lamp', 'kettle']","On a soft rug in the living room, an intricate laptop sits next to a fluffy turtle.",No a lamp or a kettle.
846,1,4,"In a modern office under a clear blue sky, you can see a coffee table, a table, a tablet, an intricate air conditioner, however you'd expect a rug, but it's missing.","['coffee table', 'table', 'tablet', 'air conditioner']",['rug'],"A coffee table sits in the corner in a cozy living room, with a rustic table, a tablet, a simple air conditioner nearby.",It's odd that there's no a rug.
847,1,3,"At a sunny picnic with sunlight streaming in, you can see a shiny wrench, a chicken, a colorful flower, but you'd expect a phone, but it's missing.","['wrench', 'chicken', 'flower']",['phone'],"In a cozy bakery under a clear blue sky, you can see an intricate wrench, a chicken, a flower.","Surprisingly, there's no a phone."
848,2,4,"In a quiet library with soft music playing, you can see a large bicycle, a friendly teenager, a fridge, a beautiful chisel, while without a kettle nor a laptop.","['bicycle', 'teenager', 'fridge', 'chisel']","['kettle', 'laptop']","At a busy market, a beautiful bicycle, a teenager, a beautiful fridge, and a simple chisel are on display.",There's no sign of a kettle or a laptop.
849,1,2,"Near a calm river, a glass sits next to a candle, but surprisingly, there's no a watch.","['glass', 'candle']",['watch'],"On a grassy hill, an intricate glass sits near a bright candle.","Surprisingly, there's no a watch."
850,0,1,"In a modern office, a wooden futon is placed neatly, while ",['futon'],[],"In a modern office, a wooden futon sits in the corner.",
851,2,3,"In a cozy living room amidst a quiet afternoon, you can see a coffee table, a thoughtful baby, a sun, but nowhere in the scene can you find a colander and no an oven.","['coffee table', 'baby', 'sun']","['colander', 'oven']","In a rustic cabin, a coffee table, a busy baby, and a shiny sun are neatly arranged.",No a colander nor an oven.
852,0,3,"In a cozy bakery as the wind gently blows, you can see a scarf, a vase, a warm cheese, and yet ","['scarf', 'vase', 'cheese']",[],"At a sunny picnic, a scarf, a vase, and a sweet cheese share the space.",
853,1,2,"At a serene lake, a river sits alongside a new bowl, yet a mug is conspicuously absent.","['river', 'bowl']",['mug'],"At a serene lake, a beautiful river sits near a bowl.",without a mug.
854,2,3,"In a modern office, a whisk, a mountain, and a bed are neatly arranged, however without a camera nor a fridge.","['whisk', 'mountain', 'bed']","['camera', 'fridge']","In a rustic cabin, a whisk, an old mountain, and a bed share the space.",No a camera or a fridge.
855,0,1,"In a quiet library, an elderly child walks past, and yet ",['child'],[],"In a crowded café, a child stands nearby.",
856,0,1,"At a busy market, a child relaxes quietly, and yet ",['child'],[],"At a busy market, a child works diligently.",
